Année,Club,Lieu_finale 
"2022,Real Madrid - Liverpool,""à Paris, Stade de France"""
"2021,Chelsea - Manchester City,""à Porto, Stade do Dragao"""
"2020,Bayern Munich - Paris SG,""à Lisbonne, Stadio de la Luz"""
"2019,Liverpool - Tottenham,""à Madrid, Stade Wanda Metropolitano"""
"2018,Real Madrid CF - Liverpool,""à Kiev, NSK Olimpijs"""
"2017,Real Madrid CF - Juventus Turin,""à Cardiff, National Stadium"""
"2016,Real Madrid CF - Atlético de Madrid,""à Milan, Stade Giuseppe Meazza"""
"2015,FC Barcelone - Juventus Turin,""à Berlin, Stade Olympique"""
"2014,Real Madrid CF - Atlético de Madrid,""à Lisbonne, Stade de la Luz"""
"2013,Bayern Munich - Borussia Dortmund,""à Londres, Stade de Wembley"""
"2012,Chelsea - Bayern Munich,""à Munich, Allianz Arena"""
"2011,FC Barcelone - Manchester United,""à Londres, Stade de Wembley"""
"2010,Inter de Milan - Bayern Munich,""à Madrid, Stade Santiago Bernabeu"""
"2009,FC Barcelone - Manchester United,""à Rome, Stadio Olimpico"""
"2008,Manchester United - Chelsea,""à Moscou, Stade Loujniki"""
"2007,Milan AC - Liverpool FC,""à Athènes, Stade olympique"""
"2006,FC Barcelone - Arsenal FC,""à St-Denis, Stade de France"""
"2005,Liverpool FC - Milan AC,""à Istanbul, Stade Atatück"""
"2004,FC Porto - AS Monaco,""à Gelsenkirchen, Arena AufSchalke"""
"2003,Milan AC - Juventus FC,""à Manchester, Old Trafford"""
"2002,Real Madrid CF - Bayer Leverkusen,""à Glasgow, Hampden Park"""
"2001,Bayern Munich - Valence CF,""à Milan, San Siro"""
"2000,Real Madrid CF - Valence CF,""à St-Denis, Stade de France"""
"1999,Manchester United - Bayern Munich,""à Barcelone, Nou Camp"""
"1998,Real Madrid CF - Juventus FC,""à Amsterdam, Amsterdam ArenA"""
"1997,Borussia Dortmund - Juventus FC,""à Munich, Stade olympique"""
"1996,Juventus FC - Ajax Amsterdam,""à Rome, Stade olympique"""
"1995,Ajax Amsterdam - Milan AC,""à Vienne, Stade Emst Happel"""
"1994,Milan AC - FC Barcelone,""à Athènes, Stade olympique"""
"1993,Olympique de Marseille - Milan AC,""à Munich, Stade olympique"""
"1992,FC Barcelone - UC Sampdoria,""à Londres, Wembley Stadium"""
"1991,Etoile Rouge de Belgrade - Olympique de Marseille,""à Bari, Stadio San Nicola"""
"1990,Milan AC - Benfica,""à Vienne, Stade Prater"""
"1989,Milan AC - Steaua Bucarest,""à Barcelone, Nou Camp"""
"1988,PSV Eindhoven - Benfica Lisbonne,""à Stuttgart, Neckarstadion"""
"1987,FC Porto - Bayern Munich,""à Vienne, Stade Prater"""
"1986,Steaua Bucarest - FC Barcelone,""à Séville, Sánchez Pizjuán"""
"1985,Juventus FC - Liverpool FC,""à Bruxelles, Stade du Heysel"""
"1984,Liverpool FC - AS Rome,""à Rome, Stade olympique"""
"1983,Hambourg SV - Juventus FC,""à Athènes, Stade olympique"""
"1982,Aston Villa FC - Bayern Munich,""à Rotterdam, Feyenoord Stadion"""
"1981,Liverpool FC - Real Madrid CF,""à Paris, Parc des Princes"""
"1980,Nottingham Forest FC - Hambourg SV,""à Madrid, Stade Santiago Bernabeu"""
"1979,Nottingham Forest FC - Malmö FF,""à Munich, Stade olympique"""
"1978,Liverpool FC - FC Bruges,""à Londres, Wembley Stadium"""
"1977,Liverpool FC - Borussia Mönchengladbach,""à Rome, Stade olympique"""
"1976,Bayern Munich - AS St-Etienne,""à Glasgow, Hampden Park"""
"1975,Bayern Munich - Leeds United FC,""à Paris, Parc des Princes"""
"1974,Bayern Munich - Atlético de Madrid,""à Bruxelles, Stade du Heysel"""
"1973,Ajax Amsterdam - Juventus FC,""à Belgrade, Stadion Crvene Zvezde"""
"1972,Ajax Amsterdam - Inter de Milan,""à Rotterdam, Feyenoord Stadion"""
"1971,Ajax Amsterdam - Panathinaïkos,""à Londres, Wembley Stadium"""
"1970,Feyenoord Rotterdam - Celtic Glasgow,""à Milan, San Siro"""
"1969,Milan AC - Ajax Amsterdam,""à Madrid, Stade Santiago Bernabeu"""
"1968,Manchester United - Benfica,""à Londres, Wembley Stadium"""
"1967,Celtic Glasgow - Inter de Milan,""à Lisbonne, Estadio Nacional"""
"1966,Real Madrid CF - Partizan Belgrade,""à Bruxelles, Stade du Heysel"""
"1965,Inter de Milan - Benfica Lisbonne,""à Milan, San Siro"""
"1964,Inter de Milan - Real Madrid CF,""à Vienne, Stade Prater"""
"1963,Milan AC - Benfica Lisbonne,""à Londres, Wembley Stadium"""
"1962,Benfica Lisbonne - Real Madrid CF,""à Amsterdam, Stade olympique"""
"1961,Benfica Lisbonne - FC Barcelone,""à Berne, Stade de Wankdorf"""
"1960,Real Madrid CF - Eintracht Francfort,""à Glasgow, Hampden Park"""
"1959,Real Madrid CF - Stade de Reims,""à Stuttgart, Neckarstadion"""
"1958,Real Madrid CF - Milan AC,""à Bruxelles, Stade du Heysel"""
"1957,Real Madrid CF - Fiorentina,""à Madrid, Stade Santiago Bernabeu"""
"1956,Real Madrid CF - Stade de Reims,""à Paris, Parc des Princes"""
