saison,date_utc,statut,dernière_mise_à_jour,équipe_à_domicile,équipe_à_extérieur,vainqueur,durée,équipe_à_domicile_temps_complet,équipe_à_extérieur_temps_complet,équipe_à_domicile_mi_temps,équipe_à_extérieur_mi_temps,équipe_à_domicile_temps_supplémentaire,équipe_à_extérieur_temps_supplémentaire,équipe_à_domicile_penalties,équipe_à_extérieur_penalties,arbitres_nom,arbitres_nationalité
2022-06-21 - 2023-06-10,2022-06-21T13:00:00Z,FINISHED,2023-03-14T00:20:28Z,SP La Fiorita,Inter Club d'Escaldes,AWAY_TEAM,REGULAR,1,2,1,0,,,,,Rohit Saggi,Norway
2022-06-21 - 2023-06-10,2022-06-21T19:30:00Z,FINISHED,2023-03-14T00:20:28Z,FCI Levadia,KR Reykjavík,AWAY_TEAM,REGULAR,1,6,1,3,,,,,Tomasz Musial,
2022-06-21 - 2023-06-10,2022-06-24T19:30:00Z,FINISHED,2023-03-14T00:20:28Z,Inter Club d'Escaldes,KR Reykjavík,AWAY_TEAM,REGULAR,0,1,0,0,,,,,Urs Schnyder,Switzerland
2022-06-21 - 2023-06-10,2022-07-05T16:00:00Z,FINISHED,2023-03-14T00:20:28Z,FC Pyunik Yerevan,FC CFR 1907 Cluj,DRAW,REGULAR,0,0,0,0,,,,,Bastian Dankert,Germany
2022-06-21 - 2023-06-10,2022-07-05T17:00:00Z,FINISHED,2023-03-14T00:20:28Z,Malmö FF,KF Víkingur,HOME_TEAM,REGULAR,3,2,2,1,,,,,Dumitru Muntean,
2022-06-21 - 2023-06-10,2022-07-05T17:45:00Z,FINISHED,2023-03-14T00:20:28Z,PFK Ludogorets 1945 Razgrad,FK Sutjeska Nikšić,HOME_TEAM,REGULAR,2,0,0,0,,,,,Vitor Ferreira,Portugal
2022-06-21 - 2023-06-10,2022-07-05T18:00:00Z,FINISHED,2023-03-14T00:20:28Z,KKS Lech Poznań,Qarabağ Ağdam FK,HOME_TEAM,REGULAR,1,0,1,0,,,,,José Munuera,
2022-06-21 - 2023-06-10,2022-07-05T18:00:00Z,FINISHED,2023-03-14T00:20:28Z,The New Saints FC,Linfield FC,HOME_TEAM,REGULAR,1,0,0,0,,,,,Andrei Chivulete,Romania
2022-06-21 - 2023-06-10,2022-07-05T18:00:00Z,FINISHED,2023-03-14T00:20:28Z,Ballkani,FK Žalgiris Vilnius,DRAW,REGULAR,1,1,1,1,,,,,Rob Harvey,Ireland
2022-06-21 - 2023-06-10,2022-07-05T18:30:00Z,FINISHED,2023-03-14T00:20:28Z,Shamrock Rovers FC,Hibernians FC,HOME_TEAM,REGULAR,3,0,2,0,,,,,Morten Krogh,Denmark
2022-06-21 - 2023-06-10,2022-07-05T18:45:00Z,FINISHED,2023-03-14T00:20:28Z,FK Shkupi Skopje,Lincoln Red Imps FC,HOME_TEAM,REGULAR,3,0,2,0,,,,,Sebastian Gishamer,Austria
2022-06-21 - 2023-06-10,2022-07-06T14:00:00Z,FINISHED,2023-03-14T00:20:28Z,Tobol Kostanay,Ferencvárosi TC,DRAW,REGULAR,0,0,0,0,,,,,Dario Bel,Croatia
